"intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2"
15,6,31763,1.348,6849849139,3249849139,-9,-0.8972539305686951,0.9836522340774536,-0.2108736634254456
28,7,31764,3.302,6849849141,3249849141,7,-2.208260059356689,2.421746492385864,0.4024125635623932
7,8,31765,1.418,6849849144,3249849144,-7,-0.9481263756752014,1.040152311325073,-0.1728107333183289
48,9,31765,3.466,6849849146,3249849146,9,-2.306151151657104,2.529988050460815,0.5422018766403198
11,10,31766,1.942,6849849148,3249849148,-5,-1.303015470504761,1.429988503456116,-0.1692564487457275
40,11,31767,3.48,6849849151,3249849151,11,-2.300375461578369,2.525422096252441,0.6640152931213379
42,12,31768,3.092,6849849153,3249849153,-3,-2.07889986038208,2.283079624176025,-0.1618227809667587
48,13,31769,3.512,6849849155,3249849155,13,-2.303482294082642,2.530606508255005,0.7900280952453613
49,14,31770,2.626,6849849158,3249849158,-1,-1.767061710357666,1.941975474357605,-0.04583001881837845
47,15,31770,3.528,6849849160,3249849160,15,-2.293482780456543,2.520504713058472,0.9131135940551758
15,1,31779,2.238,6849849183,3249849183,1,-1.503371000289917,1.657405853271484,0.03905848413705826
19,3,31781,1.368,6849849188,3249849188,3,-0.9174777865409851,1.012192010879517,0.07159558683633804
65,5,31782,3.118,6849849192,3249849192,5,-2.085651636123657,2.301767349243164,0.2717516124248505
11,6,31783,1.34,6849849194,3249849194,-9,-0.8885102868080139,0.9809219837188721,-0.2096221894025803
42,7,31784,3.236,6849849197,3249849197,7,-2.155823945999146,2.38088059425354,0.3943691849708557
7,8,31785,1.418,6849849199,3249849199,-7,-0.9444897770881653,1.043455600738525,-0.1728107333183289
48,9,31785,3.478,6849849201,3249849201,9,-2.305259466171265,2.546809911727905,0.544079065322876
11,10,31786,1.95,6849849204,3249849204,-5,-1.303363084793091,1.44043755531311,-0.1699537038803101
46,11,31787,3.49,6849849206,3249849206,11,-2.298130989074707,2.540716409683228,0.6659234166145325
61,12,31788,3.07,6849849208,3249849208,-3,-2.056182861328125,2.274026393890381,-0.1606713831424713
48,13,31789,3.524,6849849211,3249849211,13,-2.302475214004517,2.547305822372437,0.792727530002594
43,14,31790,2.64,6849849213,3249849213,-1,-1.769656658172607,1.958517909049988,-0.04607435315847397
44,15,31790,3.546,6849849215,3249849215,15,-2.296327114105225,2.541395664215088,0.9177723526954651
15,1,31799,2.246,6849849238,3249849238,1,-1.5029296875,1.668586730957031,0.03919810429215431
20,3,31801,1.346,6849849243,3249849243,3,-0.8992411494255066,0.9990590810775757,0.07044419646263123
67,5,31802,3.114,6849849247,3249849247,5,-2.074938774108887,2.306071281433105,0.2714029848575592
9,6,31803,1.36,6849849250,3249849250,-9,-0.8982909917831421,0.9987043142318726,-0.2127508670091629
56,7,31804,3.118,6849849252,3249849252,7,-2.069191694259644,2.301299095153809,0.3799886107444763
7,8,31805,1.416,6849849254,3249849254,-7,-0.939514696598053,1.045269727706909,-0.1725669950246811
38,9,31806,3.332,6849849257,3249849257,9,-2.199531555175781,2.447977542877197,0.5212396383285522
11,10,31806,1.964,6849849259,3249849259,-5,-1.307648420333862,1.455352663993835,-0.1711738854646683
43,11,31807,3.496,6849849261,3249849261,11,-2.293184041976929,2.553104639053345,0.6670682430267334
78,12,31808,3.074,6849849264,3249849264,-3,-2.050901174545288,2.284162282943726,-0.1608807295560837
48,13,31809,3.532,6849849266,3249849266,13,-2.298776149749756,2.561128377914429,0.7945271134376526
51,14,31810,2.654,6849849268,3249849268,-1,-1.772157669067383,1.975101947784424,-0.04631868749856949
49,15,31810,3.564,6849849270,3249849270,15,-2.299053430557251,2.562336921691895,0.9224310517311096
15,1,31819,2.262,6849849294,3249849294,1,-1.507761001586914,1.685746788978577,0.03947734460234642
19,3,31821,1.34,6849849298,3249849298,3,-0.8917553424835205,0.9977244734764099,0.07013018429279327
72,5,31822,3.116,6849849303,3249849303,5,-2.068203926086426,2.314785957336426,0.2715772986412048
7,6,31823,1.364,6849849305,3249849305,-9,-0.8974311351776123,1.004780411720276,-0.2133766114711761
77,7,31824,3.122,6849849307,3249849307,7,-2.063790321350098,2.311469554901123,0.3804760873317719
8,8,31825,1.408,6849849310,3249849310,-7,-0.9305729269981384,1.042618870735168,-0.17159204185009
72,9,31826,3.29,6849849312,3249849312,9,-2.163355827331543,2.424687147140503,0.5146694183349609
14,10,31826,1.976,6849849314,3249849314,-5,-1.310518860816956,1.468828320503235,-0.1722197532653809
46,11,31827,3.518,6849849317,3249849317,11,-2.298632621765137,2.577210426330566,0.6712660193443298
79,12,31828,3.072,6849849319,3249849319,-3,-2.041586399078369,2.289816617965698,-0.1607760637998581
46,13,31829,3.552,6849849321,3249849321,13,-2.302788257598877,2.583684921264648,0.7990261316299438
51,14,31830,2.66,6849849323,3249849323,-1,-1.769243240356445,1.985755085945129,-0.04642340168356895
49,15,31831,3.588,6849849326,3249849326,15,-2.305064916610718,2.588057518005371,0.928642749786377
14,1,31839,2.268,6849849349,3249849349,1,-1.505851268768311,1.69548499584198,0.03958205878734589
19,3,31841,1.348,6849849353,3249849353,3,-0.8935703039169312,1.006806373596191,0.07054886966943741
77,5,31842,3.11,6849849358,3249849358,5,-2.05614447593689,2.317520141601563,0.2710543572902679
7,6,31843,1.38,6849849360,3249849360,-9,-0.9044042229652405,1.019729852676392,-0.2158795595169067
80,7,31844,3.126,6849849363,3249849363,7,-2.058343172073364,2.321630239486694,0.3809635639190674
8,8,31845,1.404,6849849365,3249849365,-7,-0.9242945313453674,1.042889714241028,-0.1711045652627945
43,9,31846,3.172,6849849367,3249849367,9,-2.077591419219971,2.344989061355591,0.496210128068924
15,10,31846,1.966,6849849370,3249849370,-5,-1.29877758026123,1.465937495231628,-0.1713481843471527
27,11,31847,3.454,6849849372,3249849372,11,-2.247969388961792,2.538187980651855,0.6590542793273926
78,12,31848,3.082,6849849374,3249849374,-3,-2.040200710296631,2.30440616607666,-0.1612994223833084
48,13,31849,3.564,6849849376,3249849376,13,-2.301504611968994,2.600463151931763,0.8017255663871765
51,14,31850,2.666,6849849379,3249849379,-1,-1.766276001930237,1.996411800384521,-0.04652811586856842
47,15,31850,3.596,6849849381,3249849381,15,-2.301590442657471,2.601474761962891,0.9307132959365845
13,1,31859,2.264,6849849404,3249849404,1,-1.497278332710266,1.697731494903564,0.03951224684715271
20,3,31861,1.354,6849849409,3249849409,3,-0.8940120935440063,1.014414548873901,0.07086288183927536
77,5,31862,3.102,6849849413,3249849413,5,-2.042773962020874,2.318703413009644,0.2703571021556854
6,6,31863,1.366,6849849416,3249849416,-9,-0.8917002081871033,1.012503623962402,-0.2136894762516022
80,7,31864,3.122,6849849418,3249849418,7,-2.047603130340576,2.325821161270142,0.3804760873317719
10,8,31865,1.424,6849849420,3249849420,-7,-0.9337632060050964,1.061011552810669,-0.1735419481992722
58,9,31866,3.156,6849849423,3249849423,9,-2.058954954147339,2.340361833572388,0.4937071800231934
17,10,31866,1.978,6849849425,3249849425,-5,-1.301548719406128,1.479437470436096,-0.1723940521478653
69,11,31867,3.32,6849849427,3249849427,11,-2.152228593826294,2.447244882583618,0.6334858536720276
76,12,31868,3.08,6849849429,3249849429,-3,-2.030825614929199,2.310013771057129,-0.1611947417259216
45,13,31869,3.584,6849849432,3249849432,13,-2.305277585983276,2.623118877410889,0.8062245845794678
54,14,31870,2.684,6849849434,3249849434,-1,-1.771174669265747,2.016085863113403,-0.04684225842356682
49,15,31870,3.608,6849849436,3249849436,15,-2.300145626068115,2.618200778961182,0.9338191151618958
13,1,31879,2.276,6849849459,3249849459,1,-1.499247670173645,1.711973905563354,0.03972167521715164
20,3,31880,1.348,6849849464,3249849464,3,-0.8866965174674988,1.012865304946899,0.07054886966943741
